"mz"	"intensity"	"frmls"
"1"	510.464810464	0.696904250175869	"C32H62O4"
"2"	511.468165304	0.24120086451048	"C32H62O4"
"3"	511.469027344	0.00106187481607037	"C32H62O4"
"4"	511.47108721	0.0049694987961155	"C32H62O4"
"5"	512.06246143	0.732539562580626	"C21H20O13S"
"6"	512.44407502	0.702891639454578	"C31H60O5"
"7"	512.469056244	0.00572853519195859	"C32H62O4"
"8"	512.471520144	0.0404358267250208	"C32H62O4"
"9"	512.47444205	0.00171995995935505	"C32H62O4"
"10"	513.06184924	0.00578381589573081	"C21H20O13S"
"11"	513.06581627	0.166381926323528	"C21H20O13S"
"12"	513.06667831	0.0036275604109469	"C21H20O13S"
"13"	513.068738176	0.00168503477293433	"C21H20O13S"
"14"	513.44742986	0.235670834738789	"C31H60O5"
"15"	513.4482919	0.00133874727083182	"C31H60O5"
"16"	513.450351766	0.00485051012090049	"C31H60O5"
"17"	513.472411084	0.00198266496485052	"C32H62O4"
"18"	513.474874984	0.00437342915149825	"C32H62O4"
"19"	514.05825757	0.0327749567424746	"C21H20O13S"
"20"	514.06520408	0.00131367980569161	"C21H20O13S"
"21"	514.06670721	0.0195697337958977	"C21H20O13S"
"22"	514.06917111	0.0179954170793668	"C21H20O13S"
"23"	514.4483208	0.00722218922422429	"C31H60O5"
"24"	514.4507847	0.0382342757258421	"C31H60O5"
"25"	514.453706606	0.00162631578601303	"C31H60O5"
"26"	515.06161241	0.00744418556558581	"C21H20O13S"
"27"	515.07006205	0.00444487939344811	"C21H20O13S"
"28"	515.07252595	0.00123267909708389	"C21H20O13S"
"29"	515.45167564	0.00242151032616516	"C31H60O5"
"30"	515.45413954	0.00399747153129445	"C31H60O5"
"31"	518.236326656	0.746955626517724	"C24H38O12"
"32"	519.239681496	0.193892858475439	"C24H38O12"
"33"	519.240543536	0.00341441468460441	"C24H38O12"
"34"	519.242603402	0.00326457151360652	"C24H38O12"
"35"	520.240572436	0.0184198686932606	"C24H38O12"
"36"	520.243036336	0.0241165634644726	"C24H38O12"
"37"	521.243927276	0.00478138307937868	"C24H38O12"
"38"	521.246391176	0.0019128134504319	"C24H38O12"
"39"	522.210111908	0.733174291187675	"C26H34O11"
"40"	523.213466748	0.206175162042263	"C26H34O11"
"41"	523.214328788	0.0030721338223528	"C26H34O11"
"42"	523.216388654	0.00286704118828046	"C26H34O11"
"43"	524.214357688	0.0165733535153243	"C26H34O11"
"44"	524.216821588	0.0278741816669895	"C26H34O11"
"45"	525.217712528	0.00466057510154981	"C26H34O11"
"46"	525.220176428	0.00241183660233933	"C26H34O11"
"47"	530.106040764	0.738525235757796	"C25H22O13"
"48"	531.109395604	0.199692207182058	"C25H22O13"
"49"	531.110257644	0.00365720166468871	"C25H22O13"
"50"	531.11231751	0.00186868374509791	"C25H22O13"
"51"	532.110286544	0.0197296405595049	"C25H22O13"
"52"	532.112750444	0.0259177998606856	"C25H22O13"
"53"	533.113641384	0.00533476079012185	"C25H22O13"
"54"	533.116105284	0.00214911908949585	"C25H22O13"
