"name"	"md"	"leftend"	"rightend"	"LBint"	"LBslope"	"UBint"	"UBslope"
"107"	"[15]N1"	0.997034960000008	0	29.013973052	0	2.08959054461162e-06	8.67361737988404e-19	0.000251830247321844
"108"	"[15]N1"	0.997034960000008	29.013973052	127.073219284	0	2.08959054461162e-06	0.00298281446175211	0.00014902411124368
"109"	"[15]N1"	0.997034960000008	127.073219284	425.110409474	0	2.08959054461162e-06	0.0156892053528879	4.90314380216543e-05
"110"	"[15]N1"	0.997034960000008	425.110409474	876.422893458	0	2.08959054461162e-06	0.0193269967670667	4.04741518834959e-05
"111"	"[15]N1"	0.997034960000008	876.422893458	1475.920121034	0	2.08959054461162e-06	0.0120725467667103	4.87514915724825e-05
"112"	"[15]N1"	0.997034960000008	1475.920121034	2010.04423399	0	2.08959054461162e-06	0.053740892790785	2.05193769544618e-05
"113"	"[15]N1"	0.997034960000008	2010.04423399	3496.66398918	0	2.08959054461162e-06	-0.0327538194076772	6.35506250911099e-05
"114"	"[15]N1"	0.997034960000008	3496.66398918	5263.132322072	-0.0360828789232377	1.240882025467e-05	-0.0327538194076772	6.35506250911099e-05
"151"	"[33]S1"	0.999387809999916	0	32.979895762	0	3.85525757219683e-06	0	0.000239405485435734
"152"	"[33]S1"	0.999387809999916	32.979895762	76.951966492	0	3.85525757219683e-06	0.00197374067190841	0.000179558702227202
"153"	"[33]S1"	0.999387809999916	76.951966492	206.855899476	0	3.85525757219683e-06	-0.00291744255244152	0.00024312021270346
"154"	"[33]S1"	0.999387809999916	206.855899476	306.890570462	0	3.85525757219683e-06	0.0310466202742569	7.89283143204073e-05
"155"	"[33]S1"	0.999387809999916	306.890570462	1507.959155978	0	3.85525757219683e-06	0.0532515427199489	6.57378608493823e-06
"156"	"[33]S1"	0.999387809999916	1507.959155978	2048.000115858	0	3.85525757219683e-06	0.0631645436361722	0
"157"	"[33]S1"	0.999387809999916	2048.000115858	3542.647068378	-0.0137418147844078	1.056512769281e-05	0.0631645436361722	0
"1"	"[13]C1"	1.00335484000001	0	141.070425288	0	3.68097064084778e-05	0	0.000843358988797029
"2"	"[13]C1"	1.00335484000001	141.070425288	163.054775224	0	3.68097064084778e-05	-0.01983294797337	0.000983947974283395
"3"	"[13]C1"	1.00335484000001	163.054775224	293.82815969	0	3.68097064084778e-05	0.00210127304295138	0.000849427406049875
"4"	"[13]C1"	1.00335484000001	293.82815969	303.11737548	-0.0173113663190423	9.57263410064226e-05	0.00210127304295138	0.000849427406049875
"5"	"[13]C1"	1.00335484000001	303.11737548	858.75773806	-0.0173113663190423	9.57263410064226e-05	0.0340794074915743	0.000743929875933087
"6"	"[13]C1"	1.00335484000001	858.75773806	971.8947933	-0.273022813362772	0.000393495357471301	0.0340794074915743	0.000743929875933087
"7"	"[13]C1"	1.00335484000001	971.8947933	1382.2860449	-0.273022813362772	0.000393495357471301	-0.0113181784799645	0.000790640267103508
"8"	"[13]C1"	1.00335484000001	1382.2860449	1545.915037846	-0.273022813362772	0.000393495357471301	0.654982341630223	0.000308612308730832
"9"	"[13]C1"	1.00335484000001	1545.915037846	3134.602460472	-0.370180806132324	0.000456343567360588	0.654982341630223	0.000308612308730832
"10"	"[13]C1"	1.00335484000001	3134.602460472	3458.708107312	-0.370180806132324	0.000456343567360588	0.367101564245953	0.000400451953794124
"11"	"[13]C1"	1.00335484000001	3458.708107312	5225.176440204	-0.370180806132324	0.000456343567360588	0.714476446738838	0.000300017088603129
"12"	"[13]C1"	1.00335484000001	5225.176440204	6177.02567967601	-0.370180806132324	0.000456343567360588	1.2727786741459	0.000193168595773044
"13"	"[13]C1"	1.00335484000001	6177.02567967601	6214.98156154401	-0.370180806132324	0.000456343567360588	2.46598605074295	0
"365"	"[17]O1"	1.00421688	0	48.992568892	0	2.68211804023225e-07	0	2.332551596759e-05
"366"	"[17]O1"	1.00421688	48.992568892	303.006046704	0	2.68211804023225e-07	0.000481541424169622	1.3496649364756e-05
"367"	"[17]O1"	1.00421688	303.006046704	820.801856192	0	2.68211804023225e-07	0.000558696116196439	1.32420184989166e-05
"368"	"[17]O1"	1.00421688	820.801856192	1420.241926768	0	2.68211804023225e-07	0.00278255080486924	1.05326500052949e-05
"369"	"[17]O1"	1.00421688	1420.241926768	1507.959155978	-0.00995170108992275	7.27525821094738e-06	0.00278255080486924	1.05326500052949e-05
"370"	"[17]O1"	1.00421688	1507.959155978	3098.022034696	-0.00995170108992275	7.27525821094738e-06	0.0016863081065165	1.12596210867111e-05
"371"	"[17]O1"	1.00421688	3098.022034696	3357.526984764	-0.00995170108992275	7.27525821094738e-06	0.0316262189438854	1.59541905649319e-06
"372"	"[17]O1"	1.00421688	3357.526984764	3542.647068378	-0.0269779660708925	1.23463313723047e-05	0.0316262189438854	1.59541905649319e-06
