"POOL_01"	"study_01"	"study_02"	"study_03"	"study_04"	"study_05"	"study_06"	"study_07"	"study_08"	"study_09"	"study_10"	"POOL_02"	"study_11"	"study_12"	"study_13"	"study_14"	"study_15"	"study_16"	"study_17"	"study_18"	"study_19"	"study_20"	"POOL_03"	"study_21"	"study_22"	"study_23"	"study_24"	"study_25"	"study_26"	"study_27"	"study_28"	"study_29"	"study_30"	"POOL_04"	"study_31"	"study_32"	"study_33"	"study_34"	"study_35"	"study_36"	"study_37"	"study_38"	"study_39"	"study_40"	"POOL_05"	"study_41"	"study_42"	"study_43"	"study_44"	"study_45"	"study_46"	"study_47"	"study_48"	"study_49"	"study_50"	"POOL_06"	"study_51"	"study_52"	"study_53"	"study_54"	"study_55"	"study_56"	"study_57"	"study_58"	"study_59"	"study_60"	"POOL_07"	"study_61"	"study_62"	"study_63"	"study_64"	"study_65"	"study_66"	"study_67"	"study_68"	"study_69"	"study_70"	"POOL_08"	"study_71"	"study_72"	"study_73"	"study_74"	"study_75"	"study_76"	"study_77"	"study_78"	"study_79"	"study_80"	"POOL_09"	"study_81"	"study_82"	"study_83"	"study_84"	"study_85"	"study_86"	"study_87"	"POOL_10"	"study_88"	"study_89"	"study_90"	"study_91"	"study_92"	"study_93"	"study_94"	"POOL_11"
"FT1295"	9233.39361928428	7525.79782527065	10688.8183326643	11318.6898877308	5817.7235628876	8156.99110192501	6962.40355393259	5998.77724871548	5472.45473068903	6778.99349346567	5153.12605210367	10769.5779447904	6353.73542107817	5764.23779782238	6635.41238453648	6080.76752457276	6403.51916537925	11983.8723204102	10298.8631995359	5713.76774201482	11213.8005144547	9430.42048693382	9736.86101968029	10698.8097733638	6253.36914192426	9281.15993172806	6977.74409000713	6961.28558612187	5977.88976753366	8267.42743467702	4839.03924661658	7593.624794474	9447.30320082792	10670.4905862849	4858.25410410566	6965.71995900366	10885.0735879717	5266.39876499286	7806.75272774632	6178.6174577	7456.51905258134	8635.34923497015	3170.75748135411	7727.29708316637	6195.24855508031	10421.7065166827	8164.88560303635	11939.0180546868	20915.8225807822	6494.20666603174	4939.38955681998	11991.8946988287	7038.73491608392	8440.26012890158	8391.09341800666	10952.7591971176	8068.49685601454	5563.82216526157	12308.568794499	10803.6385935626	8144.14589332602	6199.99623110815	4753.13165588391	5259.67346737262	5500.81855221368	6408.58813453469	9081.72873635499	16204.5093317411	12733.7226352769	9699.82431626548	8939.62628051816	17768.5521382029	4934.98184413612	9303.59736931044	10944.724707224	5849.69870280527	7172.12245035479	7623.25307525532	11067.0687897236	13512.4420883709	7611.53021816082	14941.1833923677	14888.2869263433	16593.0147315032	13020.2577196368	10428.0029542868	7166.00439900292	8636.39789102467	6056.38563967019	6392.57384035724	9861.63838991956	9820.83461330393	11925.930141154	8103.52304058361	11870.5961235368	11533.3970282409	9718.3100345854	8986.48075261557	8479.96979550668	5329.2914194411	8077.782341917	8268.70641316832	7846.34333358321	6908.83541755281	6387.28618894561
"FT1310"	NA	2041.44543365849	2721.20925446232	2153.8282802823	2807.60603476943	2109.74900325334	1654.80090762815	1776.98705356189	NA	2171.65412552691	2701.56177059886	1391.29476318943	NA	2401.89856774872	2088.723492594	2316.11635336047	2259.33142319001	NA	2443.66218283544	2078.40672394876	1519.11636651622	2075.00674644985	1961.87436500562	NA	1802.06821512339	2735.77975680185	2540.65994105042	NA	1475.89126253332	1145.04876469344	NA	2402.00046525548	1775.93266349895	1845.93806885864	1847.75342156618	2413.67860320531	2580.92574354825	3149.54214898663	2018.23025727954	2598.94391200748	2182.5146483225	NA	2928.76251125166	2754.43662968809	1455.87552498892	NA	1835.35911800182	NA	NA	1608.69227614045	2319.40011008249	2152.27953146896	3742.64972727273	NA	1571.22175813889	1989.49381076694	2402.44380238652	2620.62872309589	567.096510868901	2408.33316531559	1135.42446418642	1627.82000467651	2349.50971217847	1323.05710984135	2398.24644382934	2885.95247090173	1683.04247575135	NA	NA	NA	1724.96965013471	2428.50387709291	2556.74094463465	1705.17801155666	2685.51446677573	2591.11326987186	1644.93436250812	1754.43305265103	1887.86605400415	NA	1792.07222291498	1064.19269862375	NA	1618.65091587886	1896.04822659698	1584.63138809148	NA	1267.04607206274	1699.08452416851	3001.33617631728	NA	NA	1991.89586863465	1356.75264230844	NA	1261.46245550313	1123.77511187032	NA	1242.05122978376	2013.35448698963	NA	1756.71514661333	NA	NA	1258.23121392066
"FT1324"	4539.37472564984	6949.36477700158	6693.85618129455	7332.03546328486	7175.08580267532	6208.02497246588	5329.60241412043	7080.25281867226	8369.75632149021	7386.46026470115	7191.98514913203	5145.91614473147	8260.17037735198	7843.68409946248	8138.88024911904	8320.58657854597	8735.107823259	4376.18756465586	7380.59927073525	8757.42489196315	7832.87735745902	7730.32677542038	5040.68513145365	9726.66913172574	7422.02428028375	8551.66237068818	8973.38445557424	11024.6599015801	6332.40272152871	6716.40750378596	9618.23074163531	6491.93433291424	5770.38868441492	5756.84772116894	8931.93303480021	7867.10165897119	7271.51731343162	8113.34387445579	8244.48802469302	8264.14506944167	8126.39303365948	6638.28977589362	7656.15586285248	8593.14847138445	4895.50965322926	8572.87426229418	7931.26956334054	2087.05081979717	NA	5206.27764303971	9135.62079882001	6574.61177009131	8297.05288111888	9574.64407706145	7574.92504587123	5488.11421366134	7581.10464658355	8282.2636662101	7934.78827861844	7773.31664571736	8849.86024479405	6527.65922965842	7722.59068286339	5297.71505648304	7698.76835564462	9012.56733093718	5522.77621673058	6442.74041529195	7798.66695466648	8156.04912021021	8034.51051746537	9176.16171708839	8726.72390482029	8235.33154522631	9400.68703493027	7783.54236373712	11214.1554051198	5878.55588559681	9404.28805790928	4891.1761140029	8221.49738308504	8151.16084853327	NA	9218.77410545367	8514.26415044134	8930.78424782279	8495.33882746303	9884.95935715338	5916.68766361575	11198.3335940536	5025.78658632044	9901.83981392455	8236.37329463012	9093.04499330175	9552.16875811587	7644.7948070347	4722.87766591569	8633.42210387875	9004.29544938847	9335.40513112554	2522.93118301534	11005.9800942447	10277.9762027523	8663.23638952311	5685.49156431896
"FT1332"	9869.13835230258	21060.8442856437	17554.9921877584	22635.374009699	14047.6685157995	24132.9811417166	22099.2572306742	16537.3057490748	15814.2796450238	16909.6708546397	21368.181301742	9306.0960033657	21950.0506096662	17145.6552319622	21393.224463689	19021.5593983848	15383.7337769144	7213.41048602407	18042.2969446685	18711.1894645887	16787.3790015947	17364.1337295707	9357.59555469342	19651.343014837	17993.3003512209	16175.2244917236	14083.825413908	19240.8979538764	17861.2360008303	10964.9103717863	17929.3341482217	22250.9350351144	24189.1641096637	8620.29824072111	14824.9148330265	19244.2171400251	17349.9193158751	19274.1776448632	16053.6555839199	16775.213300902	15052.6150448564	20615.7092210492	16160.4422369944	18365.1571923776	9354.55706765294	24183.7709213922	19118.0686610706	3258.09363292934	1714.04830520243	24206.6116779429	16758.4455451156	22884.7998175402	22480.4799545454	21552.4668703889	18376.2773602906	9673.55350275393	17400.4930004192	17974.9694256907	26836.5954382379	20956.2562866024	24756.5376728557	19557.8738644934	14736.1589891334	10674.2825448327	19644.7326448981	18485.1122135855	8886.58144373559	16850.1616044391	17276.6805238152	24082.1959131511	22582.9326406206	15890.4008151184	23171.6314692831	17842.6024924545	17213.0377552755	17566.6963990998	19501.1837320752	9340.88410244574	18888.3197214258	14095.403839503	17565.2677622831	26719.8234709399	1476.9946492011	19688.8503735012	23736.4273234749	19911.1160023148	17404.5524369852	29770.6444434959	9221.25966493648	17761.5583362707	9011.37927338926	17506.9783446357	21504.9907197339	23972.429515205	19507.235740215	26261.7001116679	9465.78986649865	22199.2758466094	20606.2573272234	17048.0382514717	4120.56271368014	22932.7224915222	20603.2084923487	20701.558324884	9436.46168401434
"FT1398"	5898.80840013747	6106.70423714072	4341.30313393279	4276.26395200976	5091.07350592582	6152.50511072274	5799.68302907098	5272.3671045748	13692.4859812276	7123.68602662288	5046.45207413235	6377.96160744505	6999.04614722472	5505.72959410811	5058.25970577455	6410.34708987344	3960.06607172287	3850.92857849995	6502.09369908276	4916.33444983125	6070.32092290006	6713.74073278527	5870.59632052837	5095.38989807001	5271.35822327458	6373.70137239962	11422.4823483455	12946.2637332241	6195.82534579515	4405.54214955317	14263.9072111193	6507.12589363948	6434.34662627892	6289.61826870261	4633.66719338848	6155.20088536356	7432.43494062	14896.6222428387	4898.9986373124	4890.77561650944	7242.19359495744	6148.25924489413	7926.12331631134	5472.02191149652	6091.19285644004	8031.98467834262	6857.65381292105	3644.7158809733	NA	4898.31750600986	5731.69473245038	5965.28542729652	7514.94629370629	20179.3282631239	7668.9554479542	6957.00320756407	7249.21353758354	4559.79190458132	7119.11670131907	5378.77823358745	7864.84948588208	5221.80124235573	7517.60806844671	5744.2984336339	4043.43250255949	16987.205811195	6405.32866141018	6263.69381072194	6657.12032331999	7810.22662269409	5272.36769120816	7692.21339199107	5934.5006477363	6658.4630442725	27614.7356895052	14931.1785596102	6785.68751650271	6406.33667970942	7615.46986412237	6000.10702153096	20695.0412445462	7044.47447449265	NA	13201.5636690975	13558.2164033401	8126.02359098566	5832.45480897101	5891.36318864086	6700.95626198558	5223.8426406418	6236.40789699949	5524.11096559318	7644.4143749335	9248.41017376584	5554.61968596616	8389.67335494491	6169.36120833864	7967.25545075255	6040.49458096707	5368.4939798021	5168.43952123498	5167.46207705863	6192.88882401403	7378.3920104457	6711.65069089243
"FT1457"	1219.74657964571	1984.56162450189	2653.95337472476	2276.56075774301	1598.11718434203	2232.80335527728	1082.18648359544	1693.77271159231	NA	1257.82622741221	1732.38875530446	2055.20325770981	3071.56114748308	3254.64322019108	1718.97891444237	1708.41665644716	2272.77844923615	1907.2661876538	1190.59946500404	1646.42399422686	993.729388887505	1671.58945649999	964.846462430036	2621.01849370911	2416.15308922703	1400.99607026311	NA	NA	2531.99934036427	2062.29991901169	NA	2928.85148108206	2558.46524464413	2143.06046683167	1522.62652036314	1014.14210701512	1468.48540188769	1669.23471171251	2660.46555187758	1687.12228171388	NA	1974.88674104089	1833.50165113625	2654.01456044318	1985.52425946729	1842.69186080975	2747.29690838009	900.244382681646	NA	894.313882892175	3048.72314104422	NA	2587.72565034965	NA	1916.52125512802	957.306218671186	1452.66808689605	1446.14722922687	3064.55865909364	1752.19434434467	1923.64707602139	1466.38493171135	NA	1921.22332026832	1072.61678095131	NA	2308.2333551704	1631.33127964813	1586.26526173602	2015.06740123817	1943.50352590316	1102.27189809071	1890.45745632173	2918.04709068931	1814.96483128489	1630.38641986239	4121.49128849081	1720.2431915069	1554.85401387158	2078.43684257747	1701.97930510809	3062.60430927466	NA	1749.93857157756	1831.92483138259	1557.84583991073	1684.12704588151	3511.35682960545	1254.9483198747	1957.17000080243	1718.60698370658	2536.8834228226	1521.95855460886	1860.27442812691	3471.67267680633	990.621544256197	944.96451286675	1651.94173898164	3412.74659262181	1355.41336021813	1314.95647912327	4305.59664357882	3569.72022919374	3131.90956000329	1467.18401817817
"FT1460"	10534.0373599085	1020.97498703462	NA	1047.45014648495	1077.41895276019	1676.17533890873	914.444015420312	959.95159713748	NA	744.504486273849	NA	7993.86750139525	NA	871.581670162002	909.788113384333	NA	1285.04348401738	NA	758.725586612664	NA	1038.70013672202	1217.10510355465	7890.48718869042	1636.98583709358	834.979894160317	NA	NA	NA	1021.10021865137	1339.38639175811	NA	1429.36254201438	1898.18636771819	7166.15293711663	840.180431539166	1093.77346121825	NA	1280.15756680127	1029.07484729165	982.361552880635	NA	1287.69069672875	1200.28200376865	790.757280423833	7711.11782124903	1461.48008094465	1233.78121623509	1560.96010798502	NA	1196.30743317753	913.614194477752	1197.44745296706	1150.44511888112	NA	1150.1030124816	7647.1805108956	915.396840371202	1290.06667963668	1522.5169932493	1342.92199626185	1273.45033094801	1256.64042066417	NA	1471.08310996951	1605.52844504004	NA	7836.63331834583	1391.99443972579	985.738536286277	1982.60336527362	1300.19502508713	NA	1094.93969031055	1099.99344256755	1426.55183570946	1124.52341589501	1206.38159280013	6676.34603423978	1345.76826332703	1208.38109997839	1314.67318969054	1128.34849650712	1067.62738851659	1300.36108584299	1560.24048181649	918.987725935593	1523.22989167415	1895.04100521923	7488.67441261845	1063.7477831801	1840.52108910431	1150.0622601576	1738.67917890188	1728.36953070019	958.751544684189	1621.12636398105	7881.46697115438	1252.38395280912	1614.7941906578	1182.8077768903	1242.82190787673	NA	1715.09424092887	997.590486803532	8960.05373856405
"FT1663"	16352.0543578247	37872.4567250841	35602.5524691321	33501.5469648969	35777.2070345399	32483.0074275379	31939.5226224384	33699.4302641691	60701.4801168332	37631.6986024383	35890.8084659304	40505.6953068091	40844.5303395692	37586.5274446255	34389.5549949374	37814.8904408911	37340.1160505826	41904.8735132948	33071.8693597982	36984.3417360475	36630.0327495649	35930.257635548	18348.395619453	37608.5403268687	34688.7259778268	36729.0038835661	100393.171476821	147356.084929801	37967.4794711393	35465.6600870298	122924.97681454	34719.8340352615	37669.4540790696	42160.773285222	35436.8797331007	37543.6828661149	38990.563135833	44054.6556101151	37257.54928679	34085.2018021321	28491.9920801102	36850.8809198856	36510.4673826303	39077.4366704849	16620.4793109494	42390.4661404937	41214.8814393754	44064.7573308774	57603.1116075094	35715.1626071943	36886.5941670712	35169.7811790642	34852.5453776224	128488.572205006	35550.7433428675	54963.0636313943	37322.4240199174	40959.4624617345	34802.2101260252	39763.9360757533	42008.3658939285	33583.661149877	104762.067360779	41806.3048491007	36171.0569895751	110834.999392242	52437.1732963012	37303.4586900904	35397.7898322364	66675.1259078737	35238.3744246235	78921.6520760055	42622.2833805655	39452.1227208092	33117.0733225581	37007.1906150627	43455.7915421865	42728.7824494166	36614.1897499499	63152.5614520391	37697.1024094147	37072.0254417247	56574.9400443947	40409.4041196132	37361.0665197502	36845.7775748434	39417.6164364869	41398.6688057012	41218.213548296	42185.3812665074	42011.4029819133	35897.184789835	37977.3256752466	41265.0677557727	38898.9293809936	39009.5282324874	41957.6047565457	41409.855933474	41544.8067867847	36384.5688001908	47109.2758117883	46180.3667810831	40196.1056886362	40577.0962387465	42535.6017853964
"FT1731"	3367.1257631588	4073.4585218038	2770.83392240556	3690.95887355384	2698.50250381937	1876.08444262783	5551.7105454299	5106.90482207632	2756.19771670291	4293.10616291611	4834.20084490362	2446.70414697192	3409.67417540744	4345.20285615209	4718.02948348304	5977.16027138698	2714.32965523796	1014.06450222217	3892.91071512455	5225.4787587923	2255.04474720618	3611.09053943219	NA	3486.11983837864	4372.50213647933	4552.66720060589	NA	3747.77513183763	4020.59494094835	1301.53994877522	2804.59699731438	2995.50310363354	3217.19596903029	2409.15640147254	6195.93821848447	4752.7959849367	2769.53468922583	5295.54212965988	2648.71852063225	7175.4278841955	5258.98582054959	5019.35346504666	5041.16579426123	4952.16173228116	2131.02375991703	2761.1978245312	3987.38207856874	1889.92101137419	2661.29868949901	NA	6575.92964329467	4032.54049510271	2180.51311888112	3422.33122904908	4922.62824396555	NA	5320.97387506335	4620.22415428089	2664.48675274645	1754.23336797285	3930.7855287289	3958.16070013971	3687.5430730456	2337.43940757828	3190.93983037223	3316.45879125238	NA	3075.43732850443	5254.05552352106	4045.94327639109	4912.09591982849	3583.55441197978	3324.53881385435	2595.66359349066	3467.27448973817	4131.48809689686	3351.434368959	1365.06085161778	5064.31027192027	2009.03925768551	3217.46740335229	3487.42221031293	5562.45050847008	5072.03770476558	3291.67473146631	NA	3577.59869317325	2965.30175309241	2247.63064852403	3519.30863303291	2605.35942900546	5268.42645225117	3715.94926634279	3601.58013205883	4307.13216289571	3678.52208390208	2519.30871869787	3326.82233411509	4902.93267930941	3364.3210104007	973.563193307019	4103.49942747559	3396.78078678537	3065.44910629231	2901.28655204143
"FT1799"	3448.52751607623	6391.10174004731	5762.86243352581	7166.87250669715	4541.18286990466	6897.01248915221	5887.17214063514	5718.03066115168	6322.01421275353	5180.07328241676	6688.57393391001	3181.04532806114	6618.87747117431	6519.43090542612	6334.66431045264	5082.07883917026	6806.32967965481	4422.85184613669	5518.83402359708	6860.05834470423	6500.77879461758	4609.36467131542	3121.45250665414	8751.68552284121	6303.34479043367	6674.65203149055	7629.72989447019	8645.86813356084	4108.64791531484	5640.16691601921	7622.93352324436	6273.73890836663	6280.90425635109	3063.7418570591	5496.35909598044	5492.55886313111	5185.51693214003	7178.93117295146	6473.31681535457	7367.63252816105	6605.07562838864	5371.97382192213	5405.69613400918	5057.74770262972	3183.31926135599	7594.78814562944	6702.85789442447	1687.68435427761	NA	6816.52790421168	6228.98853710269	6261.41085465114	5382.36166783217	8009.10861387738	5005.37399370421	3039.85977194338	4559.21060506755	6583.48910726264	7448.83508594886	6286.02735158844	7193.29035409708	5476.06309826567	7911.78592947614	4477.69487918619	6680.31309963336	7605.76990529048	2546.4273419282	4702.34100482155	5094.96163740585	7368.21077035776	5855.80838236619	6751.90195469425	5701.15300421686	5140.98862998852	6383.30190135234	5559.46361129247	7820.31588962807	2861.09991212883	5269.24936932267	4012.65897725475	6237.08834870974	8016.79580689682	NA	5650.34241912555	6703.75634233268	6113.86656634322	6615.55529711287	7644.63154019937	2878.84282889738	7410.8301366748	4304.86539228982	6117.99043915489	7704.2906344075	8600.36279152449	6802.5558177836	7185.18403841805	2677.35964806841	6950.35816493702	5892.79781253992	5521.84974859315	2118.84584562481	7102.72578235558	7813.95555965213	6973.05294043255	2570.18169579681
"FT1852"	7286.38650227064	4548.61444908184	6295.16384222307	6961.90127328011	8173.19026671126	5126.13712812051	3933.49466667383	5482.55525904146	11461.8765765315	5122.0536301258	5484.7496654255	7510.78573035754	7655.29335408896	7314.80231348133	5293.21003589114	4882.90891817831	4749.5809104886	10179.3273693944	9024.59100261442	4636.84471434047	5803.76163827255	5924.10074769366	7687.21996855916	6827.84999164224	4440.13560734105	7208.00381190651	9659.11751371525	11697.7720481984	9250.25621595952	5351.13991162528	10789.9793692864	5042.20084074671	4798.56802340795	6925.18986882237	8649.84003975	4819.43626143435	6216.3065398519	5941.02003782833	6382.04265256728	5280.52084894653	7501.38262656728	7945.55224011842	7588.8973309343	6139.3347942302	8775.26886684251	6623.83553342816	6700.96835515467	6896.47215637759	2252.7229701566	5571.95485773129	5487.06476915304	5108.01033674564	6932.21837412587	11868.0089036356	7946.49547674383	8193.06909245966	6208.78729344517	4966.51250185916	7555.74301786313	7661.69268765074	6753.10465952339	6449.74572405718	12678.8169086004	6939.71407492943	5190.54293691001	11837.9662951629	7098.78730475749	6629.22877001335	6371.94415432567	8198.83414380563	9174.73677559629	10664.5254306675	6471.19008123869	8148.61647255813	5916.90961471449	6683.45825010666	9312.59979934559	8197.96990288518	11289.6351922237	7608.42243639454	9511.78881872765	5621.28887552796	NA	4860.92689214534	8359.59875457469	5934.04026326654	7613.14430152608	5200.71578577467	8872.8196414965	6898.71133112632	7053.5801973549	6736.51004735328	8808.30266877909	6992.89668611524	8026.45839570025	7863.42653424328	6525.02822363899	5596.82167321021	7145.43805074399	5737.41763938627	9286.22873469178	8008.85444397776	7355.41806585328	5855.35210961057	NA
"FT1860"	NA	966.348808886784	1346.58882958856	1097.15547609162	1132.76402488803	1006.40838661601	1361.83437830311	1582.46865022079	NA	1427.11326267204	1374.64310570485	594.203230742131	977.042700783758	1305.31620754592	1174.2047288221	NA	1409.76999499309	978.443256108062	NA	694.279723385931	1891.57335680193	1143.64838788502	NA	1761.18478483557	906.01507943463	1095.76799899637	NA	NA	1157.23627225266	1792.3940654973	NA	1409.54041481737	821.490014751097	NA	1131.35569915028	1036.30255433873	957.288326819685	921.395530437704	1413.95038727824	823.309732827088	NA	1417.4400375779	1518.58333997541	1022.73065067971	NA	1288.46048549561	759.692538100678	1487.7677355322	2051.05365801831	1257.48273854128	1398.03752651085	1420.57702072806	1537.01360139861	NA	1008.04668848066	NA	1057.36256648592	1132.91951680879	1456.79696872711	948.077367655311	1256.26464281254	1593.17982035775	NA	1456.50887981039	866.124629663679	NA	NA	1177.25980366215	1445.72854767292	1548.32743124478	808.892128702731	NA	1225.51601942692	1275.05245819146	1342.83461184046	1498.43112786058	2097.35906066793	NA	1452.29782267527	2325.94020333229	1049.97731706419	2052.68401695154	1754.30005354229	1144.94047602624	947.260575228551	809.09535310672	1188.83440302961	1869.33519305423	NA	1019.96602228678	2435.84629854806	1240.12599819494	1506.42056412612	863.825144635408	1617.60848923153	1518.73549900761	420.339449808229	842.38907244711	1280.60365626433	2086.23606837033	1651.57320233752	1788.36610400395	1232.6715778712	1052.7722811936	NA
"FT1892"	3621.7514090539	5116.06885769908	7705.5666932359	4553.05998074115	4233.75622998058	NA	9433.71848715901	2166.30541763318	NA	NA	NA	3334.88368159028	2602.87059489084	5391.83962010189	3467.29709337789	1469.58986358574	3241.50984417864	NA	5099.14759227166	2414.46140533173	NA	6119.62029405302	3050.55676737322	1706.03959595139	NA	7076.40405108229	12435.757536177	11305.2438191491	3425.87501721554	NA	10196.3114378124	3245.93383236916	2001.20616462146	2938.50703646197	1277.54432568146	NA	4763.78929764112	2844.90995734312	4974.19056241716	2113.00165966024	3626.21686000158	NA	3131.13817095333	2461.94768592352	3200.32210875075	NA	2700.18355511206	8015.20935963936	3072.48021881853	1592.86547602902	2165.88452826024	1877.11873343049	1806.46711888112	17025.8751564553	2497.68298012791	2976.94097198108	1570.87841344687	NA	NA	NA	1745.14207572587	NA	8205.12395218837	2608.2408783949	NA	6344.44423569862	2335.85109117711	6980.91540976929	2456.16220518582	NA	1184.08355151067	4895.30854363606	NA	3006.32420888152	5448.46195361135	3496.13883899035	NA	2666.74683983723	1375.97668299718	NA	4355.83781522387	NA	8226.28852743444	3288.73622875945	NA	2706.36582995957	NA	NA	2824.54667306347	2026.19140140268	1123.14775995499	2263.00065502446	NA	NA	2329.59536212205	1160.83478059558	2676.94825803265	2375.9283472324	3071.58425236317	4687.41883909951	1967.30899742294	1259.94457051366	NA	NA	2433.67107999621
"FT1943"	1911.0643900339	NA	2396.44706007498	NA	2629.86821806341	1706.36168127709	3172.36162582488	3163.59475103816	NA	1336.20084758053	2565.01770709333	1197.28162264367	NA	1585.2464258701	1827.0825528446	2661.4692306555	3029.33236687361	1162.16782249773	1819.09895784943	1536.40191113899	1641.49096884971	2365.10127269461	2169.82394471765	2062.97807335382	2872.85400419656	1815.39494801755	2788.54332891994	NA	NA	3581.77954878707	NA	NA	NA	1208.12338903443	1955.98190761289	NA	2921.20686300172	1611.89386441298	1271.02482509306	2538.95644850072	2666.01623101905	NA	1483.46563289334	NA	1934.54842480317	1888.43577097022	3987.52479596831	NA	1733.71264185799	NA	1984.92953476319	2633.56695750808	1936.26	2965.49291040953	1240.74342355958	2013.08389820588	2823.96011924868	1455.23578656014	NA	1728.51496267791	1672.93386526486	1605.98897923742	3295.2743381889	1537.95415309252	1367.48755788465	NA	1268.4901520977	1514.95500109721	1695.60170889449	NA	1323.37235746144	2814.25224902696	3062.16006373535	1643.56065069645	2954.70108046723	NA	3063.90134963691	1944.06202059887	NA	3471.51491194943	1728.11145648742	2903.17293038941	3107.78848328525	1477.20453557195	NA	1615.65543404679	1997.59047010906	2254.45102839943	949.11807790917	1311.22266598479	1488.64676083325	1345.91999974924	NA	1710.15435274378	2378.39361869263	1499.52103982319	1153.97900959664	NA	2607.54152567126	2332.03366668433	1730.79488954464	1991.97651474575	1981.96968169107	1356.35159503494	1062.25146341699
"FT1946"	8436.62670269634	7860.55976337532	8050.09165666185	3823.11847736585	9128.94440130079	9962.41488191069	11596.0019786852	12681.6846968837	24863.8701620402	10762.6263126146	5903.95360660569	8059.65855948025	9234.95991796563	7859.68351781425	6234.0889641342	10887.5936153246	8624.24969846606	4446.75892180676	7999.50155783538	5730.06637288025	9699.53593426558	9293.15186966131	9115.52712156217	6429.59894070211	10008.2495448532	7334.83686295138	17576.8105776186	14642.620001826	9347.83635759881	9251.06027293083	20411.3865103085	13952.7572041329	11916.3919001582	7889.80492126998	7832.89649280058	6843.66885827166	12889.9288410042	9157.16850303054	7989.56476346698	8881.28246737356	10136.5139982041	11322.8681150486	9403.34494511497	6296.89910605	9347.0494024811	12509.6516705809	10434.7302103097	3574.44616449275	NA	12197.6966715664	7033.07784840578	11646.5046731086	8471.4204020979	23792.6236021626	13938.5436052169	9854.9277855872	12644.1501320645	9779.83052891571	8884.46774178665	5164.08049280336	6962.99278002751	10576.504949112	11544.0154826868	8333.73328018867	8968.26839112963	25056.0283406886	9693.37290810008	11348.3770230873	8872.08289907845	10783.614206668	8151.56801076651	16519.1533263959	5547.24620691595	13208.9894206525	8117.39894419408	8720.20713403338	9113.56720824005	9639.55793330205	10623.1222335967	5636.86654823788	11158.6946468233	13085.5505030695	NA	5648.72220598753	5399.03039358561	13004.7058432828	9859.32198906128	7696.86773529911	9652.61436363416	7990.97786119278	8732.6600171774	11483.6306306702	13355.5307526499	11114.1711554566	10014.4086832624	13392.9271466358	9017.51655304088	17998.5377125796	11488.3553896482	11080.5031379643	4183.62193000922	9792.58444718158	13363.8691596648	14115.1234005144	9158.06558849799
"FT1950"	7284.32536686715	4999.35542859959	8655.23830754881	7580.4556676014	5989.32490197114	4383.65853498739	4486.72500841936	5479.11940463659	6611.10969496853	6968.55754077733	5474.59176608963	4568.95829566079	6650.80333529437	5366.66546531877	7997.60507372262	7947.66103496526	5909.45208255046	15236.2494265305	7198.38662470888	12729.3885843758	4370.59396633847	4770.31883035834	5591.77963982032	9156.02889326851	5267.98359943829	12702.9920873629	7622.34058745492	8945.77019416186	3432.10296374255	6077.13634896753	10068.4517227586	5075.91104039785	4675.40556623446	4594.6686784577	10118.7307494833	7355.30943108001	6625.60493829973	6693.90244035579	9115.52609054771	7662.50316971619	7465.24613222919	5102.236571755	7426.95968846334	9109.72814307264	5432.9831853066	8195.99532042641	6476.07962065159	12287.7330480233	9733.84860411905	9157.02167823697	9561.24497819725	4956.45535484876	10792.0565559441	7465.00166908644	10208.144007137	4939.210462609	9075.51802828592	6002.54209721467	5020.09463005776	10011.4389548454	6905.54299358377	5622.7135959325	7465.35659934235	8216.77136284702	5851.25481909384	8003.47494192314	5782.87888310757	7149.86249627669	5605.44853957415	9200.82262456114	6471.58182486082	7505.48277060586	7146.72254463561	9374.69889440098	9901.00358573717	6211.88045024947	10546.4796113216	6195.91678100365	10440.10966809	3570.45610655581	7311.58337938944	8749.36443090231	11130.0596120524	7595.79212213691	7639.10773132991	7768.71062348727	8997.82586240281	7815.55240740732	5244.363132592	16858.6049318122	10914.9884810268	7977.65160588845	9753.57999683405	6494.06723363603	9618.81736521678	7844.67085299311	6773.00101112819	6374.06167311951	7852.38413172661	8983.11616071741	14467.2435644777	9264.76102589924	10516.5647334946	6801.23584897742	5125.81650711916
